,date,low,volume,volumeNotional,tradesDone,open,high,close
0,2021-01-01,28650.158643288654,79325.75519027002,2328244690.1466174,1428717.0,28907.97200948266,29620.935692360843,29350.42577990101
1,2021-01-02,28966.56341899368,179364.01573772,5772772584.556077,2556809.0,29346.32038648604,33348.09185688231,32184.675174743374
2,2021-01-03,31980.89438964368,178741.36586157998,5901002080.803002,2929773.0,32164.09632942572,34796.59603057489,33014.193733826716
3,2021-01-04,29211.892703279605,162134.89256131,5187852167.420348,2460590.0,33023.25775747086,33619.08996786527,31997.135752001093
4,2021-01-05,29746.203007114906,175019.92126195002,5945979289.606056,3002892.0,31997.69715076608,34406.563744624335,33973.157151103886
5,2021-01-06,33302.298937669504,193835.82873683,7131366492.655422,3137360.0,33975.95237628232,36953.67802767828,36790.75503805669
6,2021-01-07,36256.088709537726,208289.72483972998,8216539522.909864,3436613.0,36794.93935874642,40386.51477650696,39447.64692176793
7,2021-01-08,37086.26519887746,120627.22518981001,4898079697.384668,1994830.0,39458.09172989709,41838.859425663606,40605.09300182787
8,2021-01-09,38737.227477944965,112630.08028573998,4520626863.764265,2391817.0,40594.63288164877,41399.21508078663,40136.94079144343
9,2021-01-1,34958.34870266395,184261.98975111,7031593456.20643,3236791.0,40139.79480006243,41380.99098829939,38160.84622609516
10,2021-01-11,30335.16048290869,410002.7873156,14521456282.32245,5903338.0,38161.06307701015,38270.277845283184,35417.9452715392
11,2021-01-12,32492.67901723247,207643.83725838,7071461462.795855,3306826.0,35421.79349638397,36634.43489953726,34055.72520795085
12,2021-01-13,32366.017180776133,181741.59210011,6792671427.7143955,2992464.0,34049.84171713715,37855.86072607057,37375.4370104381
13,2021-01-14,36709.4502542163,149834.66555081,5864474523.551454,2602620.0,37376.13119423198,40097.59358772547,39139.637693273115
14,2021-01-15,34391.7429206021,169206.92407901998,6219591552.028549,2921689.0,39140.39339304025,39731.764723648674,36757.31111998695
15,2021-01-16,35373.013958122836,63457.21620069,2285118872.925559,1154245.0,36906.56447506222,37863.9724746699,36010.38636328821
16,2021-01-17,33836.087873908466,110592.47699856998,3962888936.8891664,2086354.0,36000.53272898511,36862.83952173189,35833.259589080444
17,2021-01-18,34791.939385057805,97054.53875955999,3555022146.3377223,1862457.0,35830.642434687456,37479.99637673546,36629.117934863694
